epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1049.53,0.56156,0.3848,0.00506,0.98137,0.94922,0.98013,0.88635,0.46504,0.24914,0.00658,0.0011882,0.0011882,0.0011882
43,1074.1,0.54522,0.35603,0.00496,0.98382,0.9588,0.98059,0.8997,0.41442,0.25581,0.00617,0.0011684,0.0011684,0.0011684
44,1098.6,0.54466,0.38358,0.005,0.97826,0.93919,0.97785,0.89603,0.42649,0.28403,0.00668,0.0011486,0.0011486,0.0011486
45,1123.57,0.55353,0.35548,0.00506,0.97487,0.9612,0.97737,0.90073,0.41664,0.24127,0.00633,0.0011288,0.0011288,0.0011288
46,1148.1,0.56375,0.37415,0.00518,0.97914,0.9516,0.97933,0.89865,0.41683,0.23515,0.00625,0.001109,0.001109,0.001109
47,1172.77,0.54328,0.36893,0.00501,0.98589,0.94417,0.98222,0.88758,0.4441,0.25933,0.00644,0.0010892,0.0010892,0.0010892
48,1197.59,0.53043,0.37032,0.00483,0.98873,0.9527,0.9824,0.90412,0.40614,0.22438,0.00627,0.0010694,0.0010694,0.0010694
49,1222.14,0.51984,0.35188,0.00467,0.9704,0.95978,0.97708,0.899,0.40254,0.26382,0.00606,0.0010496,0.0010496,0.0010496
50,1246.65,0.52122,0.35115,0.00466,0.98145,0.95045,0.98286,0.89904,0.42135,0.25817,0.00624,0.0010298,0.0010298,0.0010298
51,1271.25,0.52444,0.37162,0.00492,0.97479,0.95813,0.98092,0.91057,0.38043,0.24326,0.00567,0.00101,0.00101,0.00101
52,1296.33,0.511,0.36724,0.00468,0.96509,0.96171,0.98092,0.89093,0.4346,0.25297,0.00621,0.0009902,0.0009902,0.0009902
53,1321.15,0.50263,0.34691,0.00457,0.97259,0.95901,0.98225,0.90379,0.41399,0.23054,0.00612,0.0009704,0.0009704,0.0009704
54,1345.6,0.50288,0.36215,0.00458,0.98383,0.95919,0.98251,0.90754,0.40243,0.24004,0.006,0.0009506,0.0009506,0.0009506
55,1370.31,0.49834,0.32933,0.00447,0.96506,0.95946,0.97854,0.90169,0.39443,0.2573,0.00599,0.0009308,0.0009308,0.0009308
56,1394.73,0.49793,0.34533,0.00461,0.99059,0.9479,0.98155,0.90148,0.41217,0.24077,0.00596,0.000911,0.000911,0.000911
57,1419.85,0.50317,0.3547,0.00466,0.9836,0.94561,0.98078,0.89514,0.40542,0.26702,0.00614,0.0008912,0.0008912,0.0008912
58,1444.31,0.4916,0.33613,0.00441,0.98065,0.95495,0.9813,0.91508,0.38066,0.23434,0.00573,0.0008714,0.0008714,0.0008714
59,1469.13,0.47289,0.35386,0.00426,0.9765,0.95721,0.98354,0.91491,0.36825,0.24957,0.00536,0.0008516,0.0008516,0.0008516
60,1493.68,0.4823,0.33661,0.00432,0.97362,0.96622,0.9828,0.91493,0.36977,0.25704,0.00561,0.0008318,0.0008318,0.0008318
61,1518.49,0.4836,0.32708,0.00443,0.98579,0.93722,0.97953,0.90431,0.3798,0.25045,0.0056,0.000812,0.000812,0.000812
62,1543.33,0.48298,0.33098,0.0045,0.97197,0.9372,0.97954,0.89751,0.38964,0.27115,0.00586,0.0007922,0.0007922,0.0007922
63,1567.85,0.50075,0.32605,0.00468,0.988,0.96396,0.98468,0.90446,0.40002,0.23422,0.00591,0.0007724,0.0007724,0.0007724
64,1592.22,0.49219,0.32836,0.00447,0.98826,0.95721,0.97924,0.9094,0.35516,0.2426,0.00519,0.0007526,0.0007526,0.0007526
65,1616.9,0.44987,0.30633,0.00407,0.97949,0.95946,0.97726,0.90415,0.38133,0.2556,0.0057,0.0007328,0.0007328,0.0007328
66,1641.58,0.47868,0.31734,0.00432,0.98068,0.96396,0.98111,0.91197,0.37054,0.22619,0.00558,0.000713,0.000713,0.000713
67,1666.52,0.46054,0.30735,0.00411,0.97478,0.95761,0.9789,0.9149,0.35004,0.24164,0.00516,0.0006932,0.0006932,0.0006932
68,1691.16,0.47372,0.30569,0.00422,0.97263,0.96049,0.98217,0.91212,0.35471,0.23538,0.00528,0.0006734,0.0006734,0.0006734
69,1715.96,0.4613,0.32121,0.00418,0.96407,0.96679,0.97996,0.90975,0.38029,0.23396,0.00562,0.0006536,0.0006536,0.0006536
70,1740.59,0.45572,0.31491,0.00409,0.98139,0.95495,0.9837,0.90946,0.35306,0.24035,0.00515,0.0006338,0.0006338,0.0006338
71,1765.38,0.44656,0.29944,0.0041,0.94936,0.97523,0.9839,0.91909,0.35471,0.24859,0.00532,0.000614,0.000614,0.000614
72,1790.36,0.45233,0.31052,0.00413,0.97935,0.96132,0.98177,0.91471,0.35863,0.2523,0.00516,0.0005942,0.0005942,0.0005942
73,1815.35,0.43588,0.30851,0.00391,0.96416,0.96941,0.98222,0.91398,0.3614,0.22956,0.00525,0.0005744,0.0005744,0.0005744
74,1840.31,0.448,0.29786,0.00406,0.99242,0.94595,0.98358,0.91455,0.37357,0.20661,0.00547,0.0005546,0.0005546,0.0005546
75,1867.13,0.45596,0.33341,0.00424,0.98738,0.94144,0.98089,0.90787,0.35763,0.25738,0.00511,0.0005348,0.0005348,0.0005348
76,1892.84,0.43125,0.30718,0.00386,0.98389,0.96308,0.98022,0.91678,0.35616,0.22222,0.00533,0.000515,0.000515,0.000515
77,1918.05,0.44072,0.30432,0.00389,0.96932,0.96171,0.98085,0.90852,0.35445,0.24704,0.00499,0.0004952,0.0004952,0.0004952
78,1942.76,0.44589,0.28487,0.00411,0.97258,0.95881,0.98432,0.92056,0.33751,0.2268,0.0049,0.0004754,0.0004754,0.0004754
79,1967.52,0.43453,0.2971,0.00391,0.9929,0.94479,0.98446,0.90886,0.36719,0.22955,0.00542,0.0004556,0.0004556,0.0004556
80,1991.36,0.43648,0.31093,0.00392,0.9813,0.94545,0.98616,0.92232,0.35724,0.219,0.00539,0.0004358,0.0004358,0.0004358
81,2016.11,0.44571,0.3005,0.00404,0.9708,0.96622,0.98346,0.9232,0.34615,0.21134,0.00503,0.000416,0.000416,0.000416
82,2040.22,0.40837,0.27313,0.00368,0.98363,0.94714,0.98371,0.91847,0.33999,0.21835,0.00499,0.0003962,0.0003962,0.0003962
83,2064.19,0.43871,0.30111,0.00396,0.9906,0.94893,0.98785,0.92517,0.35316,0.21573,0.00516,0.0003764,0.0003764,0.0003764
84,2088.3,0.43206,0.29247,0.00393,0.99114,0.9527,0.98418,0.923,0.33818,0.22226,0.00495,0.0003566,0.0003566,0.0003566
85,2112.19,0.41828,0.28718,0.0038,0.991,0.94595,0.98491,0.92459,0.34342,0.21023,0.00514,0.0003368,0.0003368,0.0003368
86,2137,0.41376,0.28968,0.00381,0.97722,0.96608,0.98321,0.92658,0.33243,0.21674,0.0049,0.000317,0.000317,0.000317
87,2161.94,0.41025,0.28906,0.00372,0.98388,0.96224,0.98486,0.92702,0.34693,0.22815,0.00518,0.0002972,0.0002972,0.0002972
88,2186.52,0.40169,0.28263,0.00354,0.98331,0.96171,0.98372,0.92613,0.33632,0.21758,0.00501,0.0002774,0.0002774,0.0002774
89,2211.24,0.41849,0.2971,0.00371,0.98578,0.96396,0.9831,0.92517,0.33556,0.21901,0.00498,0.0002576,0.0002576,0.0002576
90,2236.11,0.40215,0.29046,0.0037,0.97067,0.96888,0.98486,0.92504,0.33835,0.22249,0.00499,0.0002378,0.0002378,0.0002378
91,2285.08,0.30651,0.22022,0.00335,0.98827,0.9527,0.98541,0.91978,0.34963,0.23345,0.00519,0.000218,0.000218,0.000218
92,2307.85,0.29727,0.2096,0.00319,0.96888,0.96396,0.98431,0.9241,0.348,0.22732,0.00519,0.0001982,0.0001982,0.0001982
93,2330.93,0.29499,0.19299,0.00316,0.98085,0.96622,0.98369,0.92529,0.3405,0.2122,0.00509,0.0001784,0.0001784,0.0001784
94,2354.27,0.29734,0.20326,0.00321,0.97497,0.96512,0.98421,0.92439,0.34068,0.23303,0.00503,0.0001586,0.0001586,0.0001586
95,2378.43,0.28978,0.2115,0.00321,0.98126,0.96396,0.98536,0.92415,0.33099,0.23588,0.00482,0.0001388,0.0001388,0.0001388
96,2403.26,0.28199,0.20418,0.00298,0.98165,0.96171,0.98551,0.92464,0.34039,0.21513,0.00504,0.000119,0.000119,0.000119
97,2427.77,0.28619,0.20211,0.00303,0.99062,0.95107,0.98542,0.9268,0.32918,0.23864,0.00484,9.92e-05,9.92e-05,9.92e-05
98,2452.22,0.27628,0.19851,0.00298,0.97437,0.96171,0.98494,0.92678,0.326,0.23141,0.00479,7.94e-05,7.94e-05,7.94e-05
99,2476.56,0.28131,0.20071,0.0031,0.98099,0.96396,0.98545,0.92838,0.32878,0.23709,0.0048,5.96e-05,5.96e-05,5.96e-05
100,2501,0.28314,0.20531,0.0031,0.98499,0.96622,0.98562,0.93087,0.32486,0.23137,0.00478,3.98e-05,3.98e-05,3.98e-05
